City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Punta Arenas,CL,2023-02-09 04:24:32,-53.15,-70.9167,50.11,66,0,12.66
68,Alice Town,BS,2023-02-09 04:26:05,25.7167,-79.3,74.64,69,2,20.04
69,Saint Austell,GB,2023-02-09 04:26:05,50.3383,-4.7658,48.76,87,100,10.36
70,Kruisfontein,ZA,2023-02-09 04:21:40,-34.0033,24.7314,64.29,80,95,2.39
71,Qaanaaq,GL,2023-02-09 04:24:41,77.484,-69.3632,-25.04,64,14,6.06
72,Novobirilyussy,RU,2023-02-09 04:26:06,56.9514,90.6661,5.11,93,100,3.94
73,Batagay-Alyta,RU,2023-02-09 04:26:06,67.8006,130.4114,-38.58,96,45,1.79
74,Havelock,US,2023-02-09 04:24:56,34.8791,-76.9013,57.15,85,0,0.0
75,Hasaki,JP,2023-02-09 04:21:33,35.7333,140.8333,51.22,37,8,17.76
76,Karasburg,NA,2023-02-09 04:26:07,-28.0167,18.75,68.61,51,2,5.21
77,Kalmunai,LK,2023-02-09 04:26:07,7.4167,81.8167,79.77,79,99,8.19
78,Saint-Augustin,CA,2023-02-09 04:24:49,51.226,-58.6502,13.23,78,99,20.65
79,East London,ZA,2023-02-09 04:26:08,-33.0153,27.9116,67.14,94,75,5.75
80,Faya,SA,2023-02-09 04:25:48,18.3851,42.4509,46.92,60,39,3.87
81,Lompoc,US,2023-02-09 04:22:57,34.6391,-120.4579,54.59,83,0,11.5
82,Longyearbyen,SJ,2023-02-09 04:24:54,78.2186,15.6401,19.24,79,100,13.8
83,Avera,US,2023-02-09 04:26:00,33.194,-82.5271,59.56,79,100,7.65
84,Tiksi,RU,2023-02-09 04:26:08,71.6872,128.8694,-38.87,98,59,5.26
85,Nikolskoye,RU,2023-02-09 04:26:09,59.7035,30.7861,35.49,93,100,10.36
86,Sosnovskoye,RU,2023-02-09 04:26:09,55.8052,43.167,13.87,99,97,3.44
87,Ancud,CL,2023-02-09 04:23:51,-41.8697,-73.8203,57.67,97,11,6.62
88,Praya,CV,2023-02-09 04:23:25,14.9215,-23.5087,68.54,77,75,11.5
89,Boli,CN,2023-02-09 04:26:10,45.7667,130.5167,17.55,55,16,3.74
90,Vaini,TO,2023-02-09 04:26:10,-21.2,-175.2,80.76,89,75,10.36
91,San Cristobal,VE,2023-02-09 04:26:11,7.7669,-72.225,68.18,74,24,0.56
92,Lowestoft,GB,2023-02-09 04:26:11,52.4752,1.7516,34.41,89,100,10.4
93,Cidreira,BR,2023-02-09 04:26:12,-30.1811,-50.2056,76.08,83,24,18.92
94,Chuzhou,CN,2023-02-09 04:26:12,32.3219,118.2978,43.25,90,100,9.17
95,Geraldton,AU,2023-02-09 04:25:28,-28.7667,114.6,86.41,48,0,14.97
96,Constitucion,CL,2023-02-09 04:27:13,-35.3333,-72.4167,60.49,73,12,10.76
97,Olafsvik,IS,2023-02-09 04:27:13,64.8945,-23.7142,24.03,60,100,21.68
98,Olbia,IT,2023-02-09 04:27:13,40.9214,9.4856,41.05,93,40,6.91
99,Shorapur,IN,2023-02-09 04:27:14,16.5167,76.75,78.98,42,99,6.06
100,Port Lincoln,AU,2023-02-09 04:27:14,-34.7333,135.8667,82.29,47,0,6.44
101,Mpongwe,ZM,2023-02-09 04:27:14,-13.5091,28.155,59.59,98,100,3.62
102,Lasa,IT,2023-02-09 04:27:15,46.6166,10.7002,22.37,70,32,1.79
103,Bodden Town,KY,2023-02-09 04:27:15,19.2833,-81.25,77.94,95,0,5.01
104,Tagusao,PH,2023-02-09 04:27:16,9.1924,117.8141,82.47,69,99,5.01
105,Saskylakh,RU,2023-02-09 04:26:53,71.9167,114.0833,-42.47,98,54,6.8
106,Luderitz,NA,2023-02-09 04:27:16,-26.6481,15.1594,62.55,96,67,10.07
107,Hithadhoo,MV,2023-02-09 04:26:16,-0.6,73.0833,81.57,72,77,9.73
108,Mataura,NZ,2023-02-09 04:22:52,-46.1927,168.8643,57.47,62,87,8.75
109,Utiel,ES,2023-02-09 04:27:17,39.5667,-1.2,37.87,90,98,5.26
110,Itarema,BR,2023-02-09 04:25:54,-2.9248,-39.9167,77.36,79,99,8.08
111,Namatanai,PG,2023-02-09 04:26:43,-3.6667,152.4333,82.85,72,98,7.02
112,Winona,US,2023-02-09 04:22:49,43.9666,-91.7668,32.2,90,0,0.0
113,Bethel,US,2023-02-09 04:25:16,41.3712,-73.414,40.95,65,0,1.01
114,Georgetown,MY,2023-02-09 04:23:01,5.4112,100.3354,85.93,78,20,4.61
115,Saint George,US,2023-02-09 04:27:18,37.1041,-113.5841,50.95,50,0,6.91
116,Yar-Sale,RU,2023-02-09 04:27:18,66.8333,70.8333,8.74,96,94,10.56
117,Shache,CN,2023-02-09 04:27:19,38.4167,77.2406,31.24,52,26,3.36
118,Mlimba,TZ,2023-02-09 04:27:19,-8.8,35.8167,70.86,98,100,1.54
119,Nieuw Amsterdam,SR,2023-02-09 04:27:20,5.8833,-55.0833,76.01,90,100,7.52
120,Cherskiy,RU,2023-02-09 04:22:50,68.75,161.3,-31.34,98,100,7.16
121,Araouane,ML,2023-02-09 04:27:20,18.9048,-3.5265,66.58,21,6,11.83
122,Imeni Poliny Osipenko,RU,2023-02-09 04:27:21,52.4201,136.4853,-11.45,89,72,5.12
123,Mahebourg,MU,2023-02-09 04:22:29,-20.4081,57.7,82.69,74,75,16.11
124,Coolum Beach,AU,2023-02-09 04:27:21,-26.5333,153.1,82.11,69,99,13.98
125,San Policarpo,PH,2023-02-09 04:27:22,12.1791,125.5072,79.54,83,100,16.78
126,Kapoeta,SS,2023-02-09 04:25:48,4.7717,33.5903,77.74,29,40,3.0
127,Khatanga,RU,2023-02-09 04:26:53,71.9667,102.5,-44.82,99,64,3.83
128,Touros,BR,2023-02-09 04:22:22,-5.1989,-35.4608,78.82,81,13,11.18
129,Bredasdorp,ZA,2023-02-09 04:22:45,-34.5322,20.0403,64.51,83,1,8.75
130,Tabas,IR,2023-02-09 04:27:23,33.5959,56.9244,46.13,44,6,4.07
131,Zmeinogorsk,RU,2023-02-09 04:27:23,51.1567,82.195,12.67,95,100,3.51
132,Hirara,JP,2023-02-09 04:27:23,24.8,125.2833,75.06,78,75,16.11
133,Krasnouralsk,RU,2023-02-09 04:27:24,58.3638,60.0407,8.94,92,37,5.97
134,Tasiilaq,GL,2023-02-09 04:27:24,65.6145,-37.6368,5.16,54,96,9.75
135,Demyansk,RU,2023-02-09 04:27:25,57.643,32.466,29.5,96,100,7.11
136,Xapuri,BR,2023-02-09 04:27:25,-10.6517,-68.5044,73.18,99,100,2.59
137,Changtu,CN,2023-02-09 04:23:50,42.7788,124.0955,27.77,37,100,5.44
138,Kuala Terengganu,MY,2023-02-09 04:28:25,5.3302,103.1408,85.98,70,40,4.61
139,Gweta,BW,2023-02-09 04:28:26,-20.1833,25.2333,74.19,70,100,4.38
140,Portland,US,2023-02-09 04:28:18,45.5234,-122.6762,46.81,80,75,5.01
