city_id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Papetoai,PF,81.99,light rain,-17.4961,-149.8729,Ancien Intercontinental (fermé)
269,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,losmen Surya
271,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Forum
273,Talara,PE,76.26,overcast clouds,-4.5772,-81.2719,Hospedaje El Aypate
274,Kendari,ID,85.48,overcast clouds,-3.945,122.4989,City Hotel Kendari
281,Bowen,AU,81.75,clear sky,-20.0167,148.2333,Whitsunday Sands Resort
283,Candolim,IN,84.2,haze,15.5181,73.7626,bluesea Beach Resort
291,Banda Aceh,ID,82.85,scattered clouds,5.5577,95.3222,Hotel 61
294,Kupang,ID,86.58,broken clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
295,Namatanai,PG,82.08,light rain,-3.6667,152.4333,Namatanai Hotel
296,Fenoarivo,MG,73.47,few clouds,-18.933,47.4354,Les Herons
304,Bagua Grande,PE,73.02,light rain,-5.7561,-78.4411,Hotel Adria'n
305,Esperance,AU,75.04,clear sky,-33.8667,121.9,Hospitality
318,Cartagena,CO,76.62,clear sky,10.3997,-75.5144,Hotel Bellamar
320,Soyo,AO,78.87,broken clouds,-6.1349,12.3689,Hotel Maria Teres
323,Tamandare,BR,77.63,broken clouds,-8.7597,-35.1047,Pousada Baia dos Corais
325,Quang Ngai,VN,82.06,scattered clouds,15.1167,108.8,Ngoc Anh
327,Sawtell,AU,78.82,few clouds,-30.3833,153.1,Boambee Bay Resort
330,Mahibadhoo,MV,80.83,broken clouds,3.7833,72.9667,Coral View Inn
332,Port Macquarie,AU,79.9,few clouds,-31.4333,152.9167,The Observatory
338,Mount Gambier,AU,85.62,clear sky,-37.8333,140.7667,The Old Mount Gambier Gaol
341,Podor,MR,71.55,clear sky,16.6527,-14.9587,La Cour du Fleuve
347,Hualmay,PE,71.49,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
348,Springbok,ZA,73.36,clear sky,-29.6643,17.8865,Elkoweru Guesthouse
360,Minab,IR,70.12,clear sky,27.1467,57.0801,هتل صدف
365,San Vicente De Canete,PE,72.72,overcast clouds,-13.0751,-76.3835,Hotel Colibrí
371,Hirara,JP,70.07,broken clouds,24.8,125.2833,古謝そば屋
379,Huarmey,PE,70.88,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
382,Puerto Escondido,MX,75.81,clear sky,15.85,-97.0667,Hotel Barlovento
386,Santa Cruz,BO,76.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
389,Fare,PF,81.55,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
395,Jacareacanga,BR,71.78,scattered clouds,-6.2222,-57.7528,Hotel São Cristovão
406,Mecca,SA,73.53,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
417,Inhambane,MZ,80.55,moderate rain,-23.865,35.3833,Hotel de Inhambane
419,Tabou,CI,78.42,clear sky,4.423,-7.3528,hôtel le rochet
423,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,The Adventures Inn
425,Rio Grande,BR,73.0,light rain,-32.035,-52.0986,Hotel Vila Moura Executivo
427,Isangel,VU,78.48,overcast clouds,-19.55,169.2667,Tanna Lodge
429,Sur,OM,74.21,clear sky,22.5667,59.5289,Sur Hotel
432,General Pico,AR,73.38,clear sky,-35.6566,-63.7568,Euskadi Hotel
433,Koupela,BF,73.17,clear sky,12.1794,-0.3517,White Stone Hôtel
440,Gizo,SB,84.74,overcast clouds,-8.103,156.8419,Gizo Hotel
441,Sabang,ID,80.78,few clouds,5.8933,95.3214,Sabang Hill
446,Lorengau,PG,80.55,moderate rain,-2.0226,147.2712,Seeadler Bay Hotel
453,Touros,BR,78.73,broken clouds,-5.1989,-35.4608,Pousada Atlântico
456,Nuevitas,CU,75.18,scattered clouds,21.5453,-77.2644,Hotel Caonaba
459,Mossendjo,CG,70.3,overcast clouds,-2.9506,12.7261,Louesse Palace
460,Basco,PH,76.32,scattered clouds,20.4487,121.9702,Tawsen Hotel
473,Lukang,TW,83.44,scattered clouds,24.0567,120.4352,永樂酒店
481,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Central Hôtel
485,Lahaina,US,74.8,overcast clouds,20.8783,-156.6825,Best Western Pioneer Inn
492,Timbiqui,CO,73.81,overcast clouds,2.7717,-77.6654,Hotel de Río Timbiqui
494,Ibra,OM,75.4,few clouds,22.6906,58.5334,الدكيك
498,Ulladulla,AU,75.87,light rain,-35.35,150.4667,Hotel Marlin
499,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
507,Rong Kwang,TH,89.08,broken clouds,18.339,100.3174,Hotel
516,Pemangkat,ID,83.08,broken clouds,1.1667,108.9667,Hotel Kelapa Gading
517,Kita,ML,76.62,clear sky,13.0349,-9.4895,Hotel Chats Rouges
518,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Tara-Mé
521,Jampur,PK,72.16,clear sky,29.6441,70.5954,City Marriage Hall
526,Butembo,CD,71.87,scattered clouds,0.15,29.2833,Canada House
532,Meulaboh,ID,80.11,light rain,4.1363,96.1285,Hotel Meuligou
538,Bandundu,CD,76.03,broken clouds,-3.3167,17.3667,Majestik Hotel
542,Lao Cai,VN,88.16,overcast clouds,22.4833,103.95,Bảo Son Hotel
550,Kapit,MY,88.5,overcast clouds,2.0167,112.9333,Haip
551,Nuqui,CO,76.53,light rain,5.7125,-77.2708,Puerta del Sol
555,Cockburn Town,TC,77.56,clear sky,21.4612,-71.1419,The Salt Raker Inn
560,Sibolga,ID,78.91,overcast clouds,1.7427,98.7792,Hotel Prima Indah
566,Andilamena,MG,70.9,overcast clouds,-17.0167,48.5833,Hotely Magic
569,Vanimo,PG,84.67,overcast clouds,-2.6741,141.3028,CBC Guesthouse
572,Palu,ID,88.14,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
573,Muisne,EC,75.54,light rain,0.6,-80.0333,Hostal Té de Menta
579,Oistins,BB,77.09,few clouds,13.0667,-59.5333,The Abidah By Accra
587,Puerto Leguizamo,CO,71.67,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
590,Juba,SS,84.0,scattered clouds,4.8517,31.5825,Hotel Juba Regency
601,Bhuj,IN,83.84,clear sky,23.2667,69.6667,Hotel Prince
607,Bougouni,ML,76.1,clear sky,11.417,-7.479,Hotel Piemont
618,Moron,AR,80.96,clear sky,-34.6534,-58.6198,La Esquina
