City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,100,11.5,overcast clouds
80,San Rafael,AR,-34.6177,-68.3301,82.38,43,0,14.56,clear sky
81,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,20.71,few clouds
82,Omboue,GA,-1.5746,9.2618,77.9,86,62,2.84,broken clouds
83,Geraldton,AU,-28.7667,114.6,81.01,61,40,24.16,scattered clouds
84,Saint-Philippe,RE,-21.3585,55.7679,85.59,77,99,10.67,overcast clouds
85,Rorvik,NO,64.8621,11.2373,30.31,80,75,9.22,light snow
86,Sangmelima,CM,2.9333,11.9833,67.15,98,42,2.26,scattered clouds
87,Goure,NE,13.9835,10.2704,61.79,14,9,9.78,clear sky
88,Valparaiso,CL,-33.0393,-71.6273,56.84,94,40,5.75,scattered clouds
89,Bredasdorp,ZA,-34.5322,20.0403,71.58,78,77,13.78,broken clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,77.56,93,80,4.97,broken clouds
91,Darnah,LY,32.767,22.6367,54.21,71,100,20.69,overcast clouds
92,Kavieng,PG,-2.5744,150.7967,82.02,76,100,7.05,moderate rain
93,Qaanaaq,GL,77.484,-69.3632,-7.74,54,0,8.14,clear sky
94,Busselton,AU,-33.65,115.3333,77.31,47,0,19.89,clear sky
95,Moerai,PF,-22.4333,-151.3333,79.48,72,83,6.98,broken clouds
96,Cherskiy,RU,68.75,161.3,-41.08,99,97,5.3,overcast clouds
97,Sydney,AU,-33.8679,151.2073,92.75,70,0,16.11,clear sky
98,Whitehorse,CA,60.7161,-135.0538,23.77,74,100,12.66,light snow
99,Palmer,US,42.1584,-72.3287,53.24,96,99,11.25,overcast clouds
100,Clarence Town,AU,-32.5833,151.7833,85.6,42,21,10.38,few clouds
101,Luderitz,NA,-26.6481,15.1594,66.04,80,12,7.38,few clouds
102,East Wenatchee Bench,US,47.4257,-120.2812,33.96,81,0,4.61,clear sky
103,Mersing,MY,2.4312,103.8405,84.11,74,40,10.36,scattered clouds
104,Karimganj,IN,24.8667,92.35,81.93,31,0,4.59,clear sky
105,Butaritari,KI,3.0707,172.7902,81.09,81,99,18.63,light rain
106,Kodiak,US,57.79,-152.4072,17.11,53,0,5.75,clear sky
107,Lebu,CL,-37.6167,-73.65,58.91,96,4,5.14,clear sky
108,Mingaora,PK,34.7758,72.3625,50.27,68,77,4.9,broken clouds
109,Vaini,TO,-21.2,-175.2,82.56,83,75,6.91,light rain
110,Santo Antonio Do Ica,BR,-3.1022,-67.9397,72.3,99,100,0.38,overcast clouds
111,La Fleche,FR,47.6982,-0.0755,37.65,85,85,2.95,overcast clouds
112,Zyryanka,RU,65.75,150.85,-38.72,98,40,1.39,scattered clouds
113,Pevek,RU,69.7008,170.3133,-29.0,100,100,3.91,overcast clouds
114,Hasaki,JP,35.7333,140.8333,40.21,78,100,21.47,light rain
115,La Maddalena,IT,41.2142,9.4083,44.65,66,31,20.38,scattered clouds
116,Saskylakh,RU,71.9167,114.0833,-43.58,97,49,7.25,scattered clouds
117,Nouadhibou,MR,20.931,-17.0347,61.52,91,100,5.77,light rain
118,Asau,RO,46.4333,26.4,2.32,81,2,6.42,clear sky
119,Hami,CN,42.8,93.45,38.84,32,84,11.9,broken clouds
120,Port Alfred,ZA,-33.5906,26.891,68.18,96,98,1.01,light rain
121,Awjilah,LY,29.1081,21.2869,56.61,56,57,4.92,broken clouds
122,Yazman,PK,29.1212,71.7446,73.17,27,1,9.69,clear sky
123,Iqaluit,CA,63.7506,-68.5145,-29.31,66,20,13.8,few clouds
124,Guerrero Negro,MX,27.9769,-114.0611,62.46,39,1,1.3,clear sky
125,Hobyo,SO,5.3505,48.5268,79.75,62,4,21.52,clear sky
126,Norman Wells,CA,65.282,-126.8329,-7.56,84,40,4.61,scattered clouds
127,Axim,GH,4.8699,-2.2405,77.49,91,39,4.76,scattered clouds
128,Hermanus,ZA,-34.4187,19.2345,71.8,73,79,15.57,broken clouds
129,Tilichiki,RU,60.4667,166.1,-14.22,85,100,12.53,overcast clouds
130,San Vicente,AR,-26.6167,-54.1333,66.85,77,98,1.59,overcast clouds
131,Nanortalik,GL,60.1432,-45.2371,29.25,94,100,4.45,overcast clouds
132,Zhanakorgan,KZ,43.9098,67.2495,21.38,42,78,6.89,broken clouds
133,Floro,NO,61.5996,5.0328,31.96,59,75,8.05,broken clouds
134,Laguna,US,38.421,-121.4238,55.09,86,0,3.44,clear sky
135,Yairipok,IN,24.6667,94.0667,69.66,29,1,4.76,clear sky
136,Abadan,IR,30.3392,48.3043,46.35,76,44,4.61,scattered clouds
137,Neiafu,TO,-18.65,-173.9833,83.08,78,75,2.3,light rain
138,Mogadishu,SO,2.0371,45.3438,76.87,88,20,13.8,few clouds
139,Georgetown,MY,5.4112,100.3354,87.75,66,20,9.22,few clouds
140,Carnarvon,AU,-24.8667,113.6333,82.67,64,61,24.32,broken clouds
141,General Cepeda,MX,25.3833,-101.45,54.07,40,58,2.64,broken clouds
142,Basak,PH,6.7274,124.1512,80.64,69,100,3.74,overcast clouds
143,Tuatapere,NZ,-46.1333,167.6833,59.58,60,49,9.75,scattered clouds
144,Tankhoy,RU,51.5528,105.1306,17.53,89,100,5.93,overcast clouds
145,Kenai,US,60.5544,-151.2583,17.69,93,100,4.61,mist
146,Skopelos,GR,39.1247,23.7247,38.21,66,100,23.31,overcast clouds
147,Kupino,RU,54.3663,77.2981,0.25,92,100,9.06,overcast clouds
148,Fenyi,CN,27.8112,114.6681,52.77,85,99,5.03,overcast clouds
149,Vao,NC,-22.6667,167.4833,78.22,83,100,10.54,light rain
150,Upernavik,GL,72.7868,-56.1549,-23.48,95,100,6.2,overcast clouds
151,Krutinka,RU,56.0055,71.5113,7.07,96,92,6.49,overcast clouds
152,Broome,US,42.2506,-75.833,55.65,76,0,10.0,clear sky
153,Castro,BR,-24.7911,-50.0119,63.28,90,95,5.53,overcast clouds
154,Tiksi,RU,71.6872,128.8694,-40.11,99,77,4.09,broken clouds
155,East Wenatchee,US,47.4157,-120.2931,34.74,81,0,4.61,clear sky
156,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,71.65,88,18,4.34,few clouds
157,Dikson,RU,73.5069,80.5464,3.76,92,100,31.0,light snow
158,Caluquembe,AO,-13.7833,14.6833,61.57,72,94,2.57,overcast clouds
159,La Sarre,CA,48.8002,-79.1996,25.21,96,100,11.86,light snow
160,Bethel,US,41.3712,-73.414,51.78,82,0,5.75,clear sky
161,Maragogi,BR,-9.0122,-35.2225,77.34,85,59,7.85,broken clouds
162,Thompson,CA,55.7435,-97.8558,-2.04,84,75,4.61,broken clouds
163,Tampakan,PH,6.4442,124.9264,88.09,56,100,1.34,overcast clouds
164,Balad,IQ,34.0164,44.1453,46.15,49,100,6.26,overcast clouds
165,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,37,0,6.91,clear sky
166,Tibiri,NE,13.5627,7.0485,63.59,12,26,11.68,scattered clouds
167,Conakry,GN,9.538,-13.6773,78.46,65,63,5.55,broken clouds
168,Sobolevo,RU,54.4299,31.8996,18.9,89,66,13.56,broken clouds
169,Dagda,LV,56.0951,27.5372,25.2,88,86,13.47,overcast clouds
170,Ayagoz,KZ,47.9714,80.4392,11.91,92,100,5.86,overcast clouds
171,Airai,TL,-8.9266,125.4092,66.45,82,100,4.65,overcast clouds
172,Bara,NG,10.3744,10.7288,66.45,14,52,7.11,broken clouds
173,Qasigiannguit,GL,68.8193,-51.1922,1.65,98,100,7.92,overcast clouds
174,Senneterre,CA,48.3835,-77.2328,26.33,96,100,9.51,snow
175,Lagoa,PT,39.05,-27.9833,57.25,59,86,11.54,overcast clouds
176,Ilulissat,GL,69.2167,-51.1,1.42,85,100,10.36,light snow
177,Hemsedal,NO,60.8629,8.5534,7.81,88,14,8.86,few clouds
178,Payakumbuh,ID,-0.2202,100.6308,80.38,72,100,3.2,overcast clouds
179,Logrono,ES,42.4667,-2.45,27.9,86,0,5.75,clear sky
180,Galle,LK,6.0367,80.217,82.56,68,50,4.12,scattered clouds
181,Quelimane,MZ,-17.8786,36.8883,78.75,88,40,3.44,scattered clouds
182,Mehamn,NO,71.0357,27.8492,31.95,59,40,20.71,light snow
183,Lima,PE,-12.0432,-77.0282,73.9,83,40,12.66,scattered clouds
184,Sharan,RU,54.8167,54.0,14.97,97,100,9.37,overcast clouds
185,Zhangjiakou,CN,40.81,114.8794,31.8,73,76,2.91,broken clouds
186,Mayo,US,38.8876,-76.5119,65.61,82,0,12.66,clear sky
187,Torbay,CA,47.6666,-52.7314,14.58,82,100,14.97,overcast clouds
188,Kibala,TD,9.1104,18.3463,72.14,15,25,4.12,scattered clouds
189,Fort Nelson,CA,58.8053,-122.7002,13.59,85,100,2.3,overcast clouds
190,Manoel Urbano,BR,-8.8389,-69.2597,72.55,99,94,2.19,overcast clouds
191,Pisco,PE,-13.7,-76.2167,71.65,94,0,1.14,clear sky
192,Bairiki,KI,1.3292,172.9752,86.0,70,20,17.27,few clouds
193,Nurota,UZ,40.5614,65.6886,24.03,51,3,6.62,clear sky
194,Yar-Sale,RU,66.8333,70.8333,21.07,91,100,17.76,overcast clouds
195,San Matias,BO,-16.3667,-58.4,74.1,92,49,4.54,scattered clouds
196,Vila,PT,42.0304,-8.1588,38.28,69,1,4.94,clear sky
197,Namibe,AO,-15.1961,12.1522,69.37,77,89,3.51,overcast clouds
198,Atar,MR,20.5169,-13.0499,63.46,47,100,14.88,overcast clouds
199,Vanavara,RU,60.34,102.2797,-3.32,95,100,4.52,overcast clouds
200,Zhezkazgan,KZ,47.8043,67.7144,4.98,78,100,11.18,mist
201,Grand Gaube,MU,-20.0064,57.6608,84.6,69,50,8.99,scattered clouds
202,George,ZA,-33.963,22.4617,65.75,100,75,2.3,broken clouds
203,Ternate,ID,0.8,127.4,82.54,77,73,14.32,broken clouds
204,Sao Filipe,CV,14.8961,-24.4956,69.19,78,73,11.12,broken clouds
205,Te Anau,NZ,-45.4167,167.7167,64.49,47,52,3.47,broken clouds
206,Siniscola,IT,40.5719,9.6922,44.15,79,74,9.51,broken clouds
207,Riyadh,SA,24.6877,46.7219,50.14,35,99,9.15,overcast clouds
208,Ayr,GB,55.4627,-4.6339,43.5,87,100,14.97,overcast clouds
209,Sheltozero,RU,61.3667,35.3667,24.8,91,100,13.69,overcast clouds
210,Arraial Do Cabo,BR,-22.9661,-42.0278,74.05,92,74,10.71,broken clouds
211,Marzuq,YE,14.4,46.4667,67.91,32,1,3.67,clear sky
